Domain	Domains Compared to	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	A2M	0	-0.541	0	-5.85	ENSG00000175899
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AAK1	0.006	-0.294	0.003	-3.042	ENSG00000115977
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AARS	0.123	0.176	0.08	1.761	ENSG00000090861
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AASDHPPT	0.654	-0.059	0.575	-0.562	ENSG00000149313
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AATK	0	0.673	0	6.605	ENSG00000181409
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABAT	0	-0.389	0	-4.746	ENSG00000183044
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABCA2	0	1.031	0	12.779	ENSG00000107331
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABHD12	0	0.528	0	4.997	ENSG00000100997
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABHD17A	0	0.721	0	6.68	ENSG00000129968
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABI2	0.485	-0.083	0.396	-0.851	ENSG00000138443
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABLIM1	0	-0.532	0	-4.055	ENSG00000099204
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ABR	0	-0.61	0	-5.188	ENSG00000159842
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AC009041.2	0	0.544	0	3.977	ENSG00000260807
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACADVL	0.492	0.091	0.404	0.835	ENSG00000072778
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACBD5	0.784	0.038	0.717	0.364	ENSG00000107897
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACER3	0.158	0.211	0.108	1.615	ENSG00000078124
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACHE	0.268	-0.171	0.199	-1.289	ENSG00000087085
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACLY	0.238	0.159	0.174	1.365	ENSG00000131473
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACO2	0.026	-0.232	0.013	-2.505	ENSG00000100412
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACOT7	0.766	-0.042	0.698	-0.389	ENSG00000097021
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACSBG1	0.608	0.087	0.525	0.637	ENSG00000103740
