Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188290,HES4,7,-4.1959,30,-2.1210,1,-6.9873,64,-1.0794,615,3.36949,119,-0.0179,93,-0.4635
ENSG00000187608,ISG15,7,-4.3403,455,2.28031,1,-7.1312,60,-1.3644,297,1.38836,143,0.11199,90,-0.6983
ENSG00000078808,SDF4,7,-4.9157,992,3.30883,223,0.18502,42,-2.5258,166,-0.2928,136,-0.5976,91,-1.3310
ENSG00000107404,DVL1,7,-3.3050,30,-1.2012,52,-0.3689,47,-0.5769,183,1.85014,44,-0.6113,88,0.58942
ENSG00000175756,AURKAIP1,7,-4.1152,30,-2.0384,139,0.32817,87,-0.4879,229,1.19121,139,0.32495,155,0.59176
ENSG00000242485,MRPL20,7,-5.0719,596,1.76846,347,0.75174,90,-1.5188,202,-0.1456,259,0.25611,201,-0.1777
ENSG00000160075,SSU72,7,-5.0382,600,1.83047,224,0.05421,93,-1.4300,173,-0.3558,254,0.26686,251,0.28325
ENSG00000078369,GNB1,270,-0.4273,43,-3.1647,287,-0.3354,204,-0.9553,620,0.95160,344,-0.0454,604,1.10059
ENSG00000067606,PRKCZ,7,-4.2411,30,-2.1671,126,0.02278,83,-0.7134,40,-1.7441,220,0.96448,266,1.65270
ENSG00000157916,RER1,7,-3.6862,30,-1.5979,160,1.07912,49,-0.9499,165,1.13961,69,-0.3203,117,0.62616
ENSG00000158109,TPRG1L,7,-4.2988,30,-2.2258,66,-1.0470,59,-1.3341,194,0.66790,218,0.87750,267,1.55503
ENSG00000130764,LRRC47,7,-3.6445,117,0.58228,1,-5.6095,35,-1.4393,252,2.03026,74,-0.1829,111,0.56697
ENSG00000069424,KCNAB2,123,-0.6333,707,2.58129,1,-7.5860,55,-1.9758,210,0.22759,104,-0.8896,196,0.13037
ENSG00000116254,CHD5,7,-3.6133,30,-1.5234,1,-6.4092,65,-0.3852,17,-2.3604,235,1.92672,154,1.34968
ENSG00000116251,RPL22,357,-0.3202,80,-2.5757,361,-0.3027,557,0.47285,978,1.40803,583,0.48105,225,-1.1385
ENSG00000097021,ACOT7,110,-1.4185,100,-1.5632,22,-3.7566,90,-1.8562,455,0.84663,295,0.11411,657,1.97919
ENSG00000171735,CAMTA1,7,-4.9015,30,-2.8391,59,-1.8497,194,-0.0222,355,1.00053,374,1.09612,279,0.68428
ENSG00000116288,PARK7,160,-0.7169,30,-3.1833,459,1.01923,173,-0.6613,448,0.97585,257,0.03116,283,0.22237
ENSG00000142599,RERE,7,-3.5079,30,-1.4140,77,0.04768,42,-1.0140,132,0.94573,159,1.28763,94,0.43123
ENSG00000074800,ENO1,192,-1.8681,1752,1.79023,167,-2.0759,301,-1.3037,502,-0.3992,503,-0.3966,1042,0.97248
ENSG00000171603,CLSTN1,184,-1.4389,1137,1.57330,298,-0.7078,122,-2.2061,708,0.70057,753,0.80904,433,-0.1312
ENSG00000054523,KIF1B,45,-3.0609,35,-3.4601,530,0.71491,231,-0.7152,519,0.67787,458,0.46514,532,0.86150
ENSG00000120948,TARDBP,59,-0.6570,30,-1.6756,183,1.23162,42,-1.2700,261,1.93152,46,-1.0305,71,-0.4245
ENSG00000116661,FBXO2,197,-0.5938,271,-0.0887,68,-2.1987,177,-0.8473,229,-0.3555,276,-0.0594,592,1.56837
ENSG00000132879,FBXO44,7,-3.8183,30,-1.7340,112,0.30456,26,-2.0688,132,0.57485,165,0.96567,170,1.24834
