Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188290,HES4,201,2.32492,47,-0.2589,108,1.10685,85,0.68136,22,-1.4229,26,-1.3886,12,-2.3485,6,-3.2836
ENSG00000187608,ISG15,201,1.77091,37,-1.0542,31,-1.3236,102,0.54639,75,0.05385,48,-0.7872,32,-1.2832,107,0.62343
ENSG00000078808,SDF4,201,1.51630,30,-1.5704,92,0.17081,122,0.62759,118,0.56863,58,-0.6792,38,-1.2014,55,-0.6443
ENSG00000131584,ACAP3,201,2.58294,21,-1.2897,48,-0.0567,31,-0.7270,77,0.70918,32,-0.8482,21,-1.3038,4,-3.7188
ENSG00000127054,INTS11,201,2.40220,26,-1.1484,58,0.10337,43,-0.3499,53,-0.0427,45,-0.3705,20,-1.4953,6,-3.2970
ENSG00000175756,AURKAIP1,201,0.32732,66,-1.4119,191,0.24619,103,-0.7368,112,-0.6013,213,0.56603,116,-0.5489,217,0.44789
ENSG00000221978,CCNL2,201,2.18288,26,-1.2714,50,-0.2820,98,0.81926,40,-0.6369,29,-1.3398,50,-0.2629,46,-0.4178
ENSG00000242485,MRPL20,201,0.31331,74,-1.2378,185,0.17810,143,-0.2325,171,0.04497,171,0.06241,218,0.44175,153,-0.1245
ENSG00000179403,VWA1,201,1.69452,33,-1.2805,14,-2.5048,178,1.46136,161,1.27271,36,-1.3381,34,-1.2303,27,-1.5538
ENSG00000160075,SSU72,201,0.62703,74,-0.9543,182,0.45529,178,0.42488,113,-0.3009,124,-0.1994,102,-0.4699,149,0.13165
ENSG00000248333,CDK11B,201,2.44049,4,-3.6068,11,-2.3809,34,-0.6823,13,-2.1254,53,0.00554,70,0.45312,38,-0.5304
ENSG00000078369,GNB1,201,-0.3787,138,-0.9567,445,0.92243,322,0.37311,279,0.13851,230,-0.2112,247,-0.0556,234,-0.1393
ENSG00000067606,PRKCZ,201,1.26620,107,0.18823,277,1.88191,29,-1.7966,111,0.25353,59,-0.8920,26,-1.9408,21,-2.2705
ENSG00000162585,FAAP20,201,1.67542,22,-1.9019,38,-1.0856,108,0.56812,70,-0.1455,70,-0.1867,85,0.15967,32,-1.3140
ENSG00000157916,RER1,201,1.61914,24,-1.8155,99,0.36234,59,-0.4564,121,0.70787,60,-0.5412,68,-0.2309,37,-1.1575
ENSG00000157911,PEX10,201,2.44824,10,-2.4603,43,-0.3156,11,-2.3913,57,0.12958,54,0.03881,25,-1.1670,20,-1.4599
ENSG00000158109,TPRG1L,201,1.51618,52,-0.7404,303,2.36121,43,-1.0230,45,-0.9455,35,-1.5664,23,-1.9524,60,-0.5104
ENSG00000130764,LRRC47,201,2.13504,36,-0.8264,77,0.37943,37,-0.7597,49,-0.3313,51,-0.3486,14,-2.1917,42,-0.5957
ENSG00000069424,KCNAB2,201,2.16295,28,-1.1572,195,2.09131,21,-1.6274,8,-2.9472,25,-1.5804,5,-3.5752,70,0.23229
ENSG00000116254,CHD5,201,2.51893,52,0.03303,155,1.94088,0,-8.6175,0,-8.6188,21,-1.6107,15,-1.8098,28,-0.9197
ENSG00000116251,RPL22,201,-2.3381,208,-2.2876,242,-2.0665,1910,1.20270,760,-0.3332,1168,0.47668,1348,0.59577,1204,0.40620
ENSG00000097021,ACOT7,201,0.25583,141,-0.3164,935,3.42097,26,-2.8178,49,-1.8980,92,-1.1603,43,-2.0855,45,-2.0190
ENSG00000171735,CAMTA1,201,0.36887,151,-0.0928,201,0.36626,96,-0.8065,83,-1.0180,155,-0.0681,242,0.67537,164,0.03582
ENSG00000049245,VAMP3,201,1.28680,26,-1.9198,25,-1.9794,116,0.33381,213,1.39051,54,-1.0208,136,0.60607,59,-0.7167
ENSG00000116288,PARK7,201,-0.7610,125,-1.4837,402,0.33397,292,-0.1811,321,-0.0319,388,0.36136,389,0.28065,380,0.24204
ENSG00000142599,RERE,201,1.62985,39,-1.0648,71,-0.1553,58,-0.4712,25,-1.7210,71,-0.2061,91,0.23360,86,0.14973
ENSG00000074800,ENO1,201,-1.7524,255,-1.3982,952,0.67582,445,-0.5494,398,-0.7242,977,1.01444,584,-0.1236,548,-0.2265
ENSG00000142583,SLC2A5,201,2.26024,41,-0.5223,15,-2.0044,40,-0.5821,85,0.63155,41,-0.6312,26,-1.1920,43,-0.4583
ENSG00000171612,SLC25A33,201,1.82571,7,-3.4479,29,-1.3730,32,-1.2360,44,-0.7452,83,0.34441,73,0.04996,73,0.05460
ENSG00000171603,CLSTN1,201,0.21528,106,-0.7951,431,1.54269,107,-0.7752,212,0.29826,158,-0.2191,67,-1.4821,163,-0.1244
ENSG00000162441,LZIC,201,1.53140,11,-2.9419,29,-1.5719,57,-0.5725,93,0.18835,58,-0.6741,220,1.70042,39,-1.1496
ENSG00000054523,KIF1B,201,-0.0958,117,-0.9432,385,0.97979,40,-2.5275,243,0.20902,209,-0.0476,258,0.30649,267,0.36015
ENSG00000142657,PGD,201,1.80235,30,-1.3476,133,1.03517,36,-1.0573,72,0.00072,58,-0.4082,43,-0.7922,27,-1.4819
ENSG00000160049,DFFA,201,1.66221,21,-1.9609,54,-0.5530,28,-1.5207,37,-1.1178,80,0.06786,124,0.78232,66,-0.2530
ENSG00000120948,TARDBP,201,1.68054,33,-1.2899,62,-0.3153,44,-0.8655,49,-0.6804,59,-0.5068,127,0.84432,70,-0.1401
ENSG00000116649,SRM,201,2.10969,24,-1.4122,78,0.36976,83,0.46985,41,-0.6347,41,-0.7858,30,-1.1306,39,-0.7311
ENSG00000116661,FBXO2,201,-0.8448,121,-1.6077,522,0.67650,107,-1.7938,160,-1.1970,522,0.94755,435,0.37194,347,0.00419
ENSG00000132879,FBXO44,201,1.87946,46,-0.6452,203,1.89647,39,-0.8773,20,-1.8967,48,-0.6902,31,-1.2503,7,-3.4077
ENSG00000011021,CLCN6,201,2.34800,35,-0.6961,153,1.77569,9,-2.7525,43,-0.3926,26,-1.3537,7,-3.0421,26,-1.1478
ENSG00000116688,MFN2,201,1.54130,43,-1.0059,160,1.12311,35,-1.3108,43,-0.9912,82,-0.0097,50,-0.7581,43,-1.0090
ENSG00000048707,VPS13D,201,2.04432,27,-1.2900,53,-0.2812,28,-1.2575,38,-0.7885,56,-0.2655,52,-0.3321,70,0.14960
ENSG00000162493,PDPN,201,1.41398,21,-2.1637,12,-2.9861,104,0.27163,91,0.04822,104,0.35844,72,-0.3159,66,-0.4408
ENSG00000116731,PRDM2,201,1.94342,35,-0.9773,20,-1.8581,42,-0.7403,23,-1.6044,55,-0.3948,139,1.23332,45,-0.6325
ENSG00000189337,KAZN,201,1.89824,14,-2.3429,68,0.00260,28,-1.3413,103,0.66673,44,-0.8490,76,0.16959,62,-0.1625
ENSG00000142634,EFHD2,201,1.86880,24,-1.6031,43,-0.7408,141,1.18995,87,0.35650,39,-1.0842,31,-1.2472,51,-0.4737
ENSG00000116786,PLEKHM2,201,2.72130,27,-0.8486,68,0.59605,60,0.39564,43,-0.1520,11,-2.4218,17,-1.5827,22,-1.1736
ENSG00000065526,SPEN,201,2.13230,29,-1.1671,18,-1.8166,51,-0.2781,14,-2.2435,56,-0.1741,86,0.56164,44,-0.5249
ENSG00000055070,SZRD1,201,1.80418,23,-1.7196,16,-2.2724,132,1.01585,64,-0.1729,35,-1.2963,80,0.16923,95,0.45923
ENSG00000159363,ATP13A2,201,1.27357,68,-0.5294,366,2.48938,54,-0.8684,60,-0.7204,55,-1.0305,11,-3.1391,24,-2.0482
ENSG00000117118,SDHB,201,1.76903,20,-1.9397,77,0.07610,72,-0.0154,97,0.45704,42,-1.0092,79,0.12769,56,-0.4102
ENSG00000117115,PADI2,201,-0.0220,71,-1.6217,18,-3.5854,90,-1.2650,593,1.87912,243,0.37680,214,0.07593,124,-0.7828
ENSG00000053372,MRTO4,201,2.50636,32,-0.7567,50,-0.0526,40,-0.3939,15,-1.8134,40,-0.5168,22,-1.2718,37,-0.5302
ENSG00000053371,AKR7A2,201,1.86219,25,-1.5571,43,-0.7410,52,-0.4712,32,-1.1800,75,0.15441,51,-0.4950,67,-0.0556
ENSG00000077549,CAPZB,201,-0.1529,115,-1.0199,283,0.39847,340,0.70390,198,-0.1787,172,-0.4909,255,0.22773,306,0.52676
ENSG00000173436,MICOS10,201,-0.3794,80,-1.7827,216,-0.2681,212,-0.2956,510,1.16315,283,0.21415,283,0.16213,206,-0.3409
ENSG00000158747,NBL1,201,0.93841,71,-0.7435,241,1.26349,295,1.64268,44,-1.4647,54,-1.3558,30,-2.0188,97,-0.2536
ENSG00000162545,CAMK2N1,201,-0.8362,193,-0.8962,360,0.07177,95,-1.9586,444,0.41506,388,0.25813,695,1.18903,284,-0.3015
ENSG00000158828,PINK1,201,-0.2407,165,-0.5520,540,1.42836,171,-0.4927,153,-0.6653,271,0.30925,169,-0.5169,131,-0.9095
ENSG00000127483,HP1BP3,201,6.33084,57,-1.9274,60,-1.8555,203,0.01332,118,-0.8279,199,-0.0266,455,1.39171,323,0.77986
