Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,154,1.59078,40,-0.6857,21,-1.7732,94,0.69406,59,-0.1060,56,-0.1994
ENSG00000188290,HES4,154,0.61338,63,-0.8182,145,0.59565,170,0.78096,60,-0.9783,80,-0.4981
ENSG00000187608,ISG15,154,1.93128,57,0.13391,60,0.23692,44,-0.3027,15,-2.0514,35,-0.7160
ENSG00000078808,SDF4,154,0.74995,147,0.66824,55,-1.0065,129,0.44441,84,-0.2872,89,-0.1837
ENSG00000176022,B3GALT6,154,2.10383,18,-1.5383,13,-2.1059,64,0.45288,51,0.07110,37,-0.4799
ENSG00000160087,UBE2J2,154,1.88731,46,-0.2611,30,-1.0240,52,-0.0688,31,-0.9604,56,0.07746
ENSG00000131584,ACAP3,154,1.76915,38,-0.6227,34,-0.9140,48,-0.2676,38,-0.7103,65,0.23589
ENSG00000127054,INTS11,154,1.63306,67,0.15380,39,-0.7930,47,-0.4007,50,-0.3689,52,-0.2909
ENSG00000224051,CPTP,154,2.26597,27,-0.7860,14,-1.8999,29,-0.6697,48,0.09750,36,-0.3915
ENSG00000107404,DVL1,154,1.44004,59,-0.2195,54,-0.4060,65,-0.0525,61,-0.1798,49,-0.5485
ENSG00000175756,AURKAIP1,154,0.46640,139,0.29113,64,-1.0290,168,0.61776,97,-0.3233,131,0.22558
ENSG00000221978,CCNL2,154,1.76075,58,0.02440,41,-0.5889,43,-0.4497,38,-0.6980,50,-0.2250
ENSG00000242485,MRPL20,154,0.33475,181,0.61026,88,-0.6221,155,0.34072,111,-0.2310,121,-0.0646
ENSG00000179403,VWA1,154,1.62812,112,1.03419,94,0.84891,15,-2.0734,4,-4.1132,36,-0.9018
ENSG00000205090,TMEM240,154,2.56250,29,-0.5192,25,-0.8392,4,-3.3425,20,-1.1369,41,0.06537
ENSG00000160075,SSU72,154,0.14854,136,-0.0488,85,-0.8743,209,0.66420,143,0.03754,154,0.17243
ENSG00000228594,FNDC10,154,0.92915,21,-2.1568,36,-1.5164,139,0.74767,147,1.02900,59,-0.7191
ENSG00000197530,MIB2,154,1.81748,56,0.00058,17,-1.9400,46,-0.3015,50,-0.1901,55,-0.0073
ENSG00000189339,SLC35E2B,154,2.51185,25,-0.7595,25,-0.8171,33,-0.3152,13,-1.8432,39,-0.1001
