Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,166,2.37904,22,-1.8650,16,-2.0333,11,-2.5390,64,0.07088
ENSG00000188290,HES4,166,1.32725,45,-1.2545,35,-1.4183,54,-0.7720,117,0.55945
ENSG00000187608,ISG15,166,1.23974,77,-0.3422,29,-1.7434,146,0.78524,41,-1.3461
ENSG00000078808,SDF4,166,1.01401,57,-1.0774,125,0.35793,60,-0.8141,108,0.12941
ENSG00000160087,UBE2J2,166,2.19095,19,-2.2075,46,-0.5541,27,-1.3563,61,-0.0933
ENSG00000131584,ACAP3,166,2.07584,28,-1.6011,94,0.55975,32,-1.1550,31,-1.3091
ENSG00000127054,INTS11,166,1.90426,18,-2.4254,90,0.39594,71,-0.0086,47,-0.7374
ENSG00000107404,DVL1,166,1.90554,39,-1.1319,31,-1.2684,61,-0.2405,48,-0.6702
ENSG00000175756,AURKAIP1,166,0.74650,59,-1.2560,69,-0.7732,141,0.35888,152,0.56122
ENSG00000221978,CCNL2,166,1.87462,20,-2.2588,114,0.77612,75,0.07000,32,-1.3395
ENSG00000242485,MRPL20,166,0.44866,58,-1.5229,161,0.33698,191,0.62210,162,0.39827
ENSG00000179403,VWA1,166,-0.0250,146,-0.2970,587,2.33925,70,-1.3479,43,-2.2342
ENSG00000160075,SSU72,166,0.15701,69,-1.4863,212,0.55031,129,-0.2719,246,0.96739
ENSG00000228594,FNDC10,166,2.01838,12,-2.9300,3,-4.6501,11,-2.6997,117,1.08944
ENSG00000078369,GNB1,761,1.68931,127,-1.8739,342,-0.0492,256,-0.5064,336,-0.0889
ENSG00000067606,PRKCZ,166,0.60154,50,-1.6597,120,-0.0226,53,-1.2829,221,1.23755
ENSG00000162585,FAAP20,166,1.80093,43,-1.0453,23,-1.8016,94,0.40197,43,-0.9385
ENSG00000157933,SKI,166,2.19369,26,-1.6929,35,-0.9650,81,0.36737,29,-1.3550
ENSG00000157916,RER1,166,1.25786,38,-1.6044,128,0.57631,78,-0.2464,82,-0.1886
ENSG00000157870,PRXL2B,166,1.18135,25,-2.3099,50,-0.9893,70,-0.4656,157,1.05786
ENSG00000158109,TPRG1L,166,0.98677,27,-2.3255,66,-0.6846,69,-0.6062,183,1.22085
ENSG00000130764,LRRC47,166,1.69596,20,-2.3402,92,0.30700,53,-0.5843,75,-0.0309
ENSG00000116198,CEP104,166,2.45289,36,-1.0004,6,-3.2941,51,-0.2590,22,-1.6611
ENSG00000069424,KCNAB2,166,1.43746,32,-1.7854,0,-6.9515,27,-1.7369,152,1.22196
ENSG00000116254,CHD5,166,1.10126,47,-1.3603,10,-3.4112,36,-1.5058,176,1.24160
