Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6
ENSG00000188290,HES4,78,-1.2220,65,-1.5151,14,-3.7549,116,-0.6043,361,1.50679,361,1.50679
ENSG00000078808,SDF4,49,-1.9927,91,-1.0651,37,-2.4305,142,-0.3420,361,1.40612,361,1.40612
ENSG00000175756,AURKAIP1,96,-0.9904,79,-1.2989,51,-1.9536,106,-0.8414,361,1.37737,361,1.37737
ENSG00000242485,MRPL20,59,-1.8681,92,-1.1883,52,-2.0502,217,0.22970,361,1.20566,361,1.20566
ENSG00000160075,SSU72,124,-0.8606,76,-1.6358,54,-2.1512,280,0.51823,361,1.01110,361,1.01110
ENSG00000078369,GNB1,265,-0.1840,150,-1.1114,117,-1.4963,516,1.04012,361,0.35757,361,0.35757
ENSG00000067606,PRKCZ,189,-0.1432,19,-3.6535,63,-1.8846,239,0.26773,361,1.04968,361,1.04968
ENSG00000162585,FAAP20,30,-2.6114,48,-1.8925,51,-1.8097,99,-0.7824,361,1.61278,361,1.61278
ENSG00000158109,TPRG1L,180,-0.1821,18,-3.7157,42,-2.4413,240,0.31932,361,1.09927,361,1.09927
ENSG00000116254,CHD5,255,0.43696,91,-1.2740,36,-2.6627,91,-1.2686,361,1.11082,361,1.11082
ENSG00000116251,RPL22,77,-2.3039,435,0.47896,400,0.32770,360,0.13709,361,0.14484,361,0.14484
ENSG00000097021,ACOT7,403,0.59094,14,-4.6066,9,-5.1310,591,1.36221,361,0.38911,361,0.38911
ENSG00000171735,CAMTA1,226,-0.4748,190,-0.7612,208,-0.6137,454,0.75147,361,0.32718,361,0.32718
ENSG00000049245,VAMP3,19,-3.3756,37,-2.4002,64,-1.5741,178,0.08255,361,1.45062,361,1.45062
ENSG00000116288,PARK7,160,-0.8774,172,-0.7601,96,-1.6651,481,1.06099,361,0.50630,361,0.50630
ENSG00000142599,RERE,119,-0.7261,100,-1.0050,59,-1.8304,107,-0.9036,361,1.27303,361,1.27303
ENSG00000074800,ENO1,743,0.66093,645,0.39823,74,-3.0262,907,1.05331,361,-0.5948,361,-0.5948
ENSG00000171603,CLSTN1,282,-0.0277,162,-0.9351,86,-1.9114,465,0.89104,361,0.41156,361,0.41156
ENSG00000054523,KIF1B,329,-0.0343,241,-0.5534,305,-0.1626,415,0.37752,361,0.12866,361,0.12866
ENSG00000116661,FBXO2,265,-0.0982,187,-0.6792,71,-2.1772,437,0.81172,361,0.45081,361,0.45081
ENSG00000132879,FBXO44,150,-0.3370,53,-1.9723,6,-4.9942,168,-0.1489,361,1.28637,361,1.28637
ENSG00000011021,CLCN6,112,-0.7853,18,-3.5578,25,-3.0216,198,0.17736,361,1.33545,361,1.33545
ENSG00000116688,MFN2,116,-0.7926,58,-1.8707,66,-1.6658,157,-0.2876,361,1.24957,361,1.24957
ENSG00000159363,ATP13A2,240,0.08624,41,-2.6698,10,-4.6717,356,0.81191,361,0.83808,361,0.83808
ENSG00000117115,PADI2,11,-4.5977,146,-0.7879,286,0.34940,242,0.05393,361,0.78658,361,0.78658
ENSG00000077549,CAPZB,151,-0.7384,60,-2.1615,47,-2.5292,429,1.12797,361,0.78475,361,0.78475
ENSG00000173436,MICOS10,84,-1.5767,128,-0.9286,140,-0.7890,274,0.34902,361,0.86982,361,0.86982
ENSG00000158747,NBL1,122,-0.6959,107,-0.9077,35,-2.5995,126,-0.6495,361,1.26339,361,1.26339
ENSG00000162545,CAMK2N1,225,-0.7708,187,-1.0655,302,-0.2861,709,1.30122,361,0.01793,361,0.01793
ENSG00000158828,PINK1,314,0.12855,195,-0.6686,75,-2.1506,442,0.75758,361,0.38000,361,0.38000
ENSG00000127483,HP1BP3,77,-1.5793,155,-0.4753,135,-0.6985,143,-0.6093,361,1.05070,361,1.05070
ENSG00000075151,EIF4G3,87,-1.3210,43,-2.3784,103,-1.0585,220,0.20355,361,1.14744,361,1.14744
ENSG00000076864,RAP1GAP,75,-1.3395,25,-2.9535,13,-3.9399,191,0.18914,361,1.43850,361,1.43850
ENSG00000070831,CDC42,157,-0.8779,98,-1.6157,109,-1.4505,516,1.24559,361,0.54065,361,0.54065
ENSG00000125944,HNRNPR,36,-2.4895,92,-1.0869,87,-1.1770,132,-0.5088,361,1.34909,361,1.34909
ENSG00000142676,RPL11,79,-2.5073,481,0.37815,522,0.52511,529,0.55061,361,-0.1266,361,-0.1266
ENSG00000057757,PITHD1,255,-0.0869,56,-2.4534,18,-4.0859,555,1.39880,361,0.53512,361,0.53512
ENSG00000001461,NIPAL3,84,-1.2972,28,-2.9413,118,-0.7576,163,-0.2225,361,1.25846,361,1.25846
ENSG00000133226,SRRM1,45,-2.2412,48,-2.1451,217,0.28401,77,-1.4125,361,1.26896,361,1.26896
ENSG00000169504,CLIC4,8,-4.6331,114,-0.6503,120,-0.5732,47,-2.0372,361,1.47312,361,1.47312
ENSG00000117614,SYF2,14,-3.6507,94,-0.8523,68,-1.3553,47,-1.9224,361,1.62172,361,1.62172
ENSG00000117640,MTFR1L,55,-1.6928,43,-2.0599,52,-1.7675,77,-1.1699,361,1.61216,361,1.61216
ENSG00000117632,STMN1,149,-1.8520,128,-2.0785,384,-0.3563,1461,2.39823,361,-0.4594,361,-0.4594
ENSG00000142669,SH3BGRL3,163,-0.6682,89,-1.6255,66,-2.0653,421,1.01399,361,0.71392,361,0.71392
ENSG00000198830,HMGN2,28,-3.0278,102,-1.0830,94,-1.2084,236,0.31751,361,1.13590,361,1.13590
ENSG00000117713,ARID1A,56,-1.7189,69,-1.4021,51,-1.8623,83,-1.1137,361,1.54058,361,1.54058
ENSG00000090273,NUDC,67,-1.6549,82,-1.3452,56,-1.9308,203,0.12831,361,1.22809,361,1.22809
ENSG00000186501,TMEM222,64,-1.5177,65,-1.4981,25,-2.9443,111,-0.6606,361,1.52606,361,1.52606
ENSG00000158195,WASF2,2,-6.2594,80,-1.0803,69,-1.3056,54,-1.6793,361,1.66859,361,1.66859
ENSG00000126709,IFI6,285,0.31485,138,-0.9013,42,-2.7283,244,0.03997,361,0.75314,361,0.75314
ENSG00000117758,STX12,69,-1.5825,45,-2.2393,64,-1.7011,208,0.21093,361,1.27027,361,1.27027
ENSG00000126698,DNAJC8,115,-0.9104,85,-1.3828,119,-0.8501,153,-0.4403,361,1.11420,361,1.11420
ENSG00000130770,ATP5IF1,166,-0.7783,106,-1.4777,86,-1.7971,511,1.23778,361,0.55273,361,0.55273
ENSG00000162512,SDC3,148,-0.8250,373,0.77685,131,-1.0139,86,-1.6717,361,0.71440,361,0.71440
ENSG00000134644,PUM1,210,-0.0229,63,-1.9325,85,-1.4840,198,-0.1295,361,0.97524,361,0.97524
ENSG00000121766,ZCCHC17,151,-0.5006,67,-1.7824,40,-2.5612,241,0.29675,361,1.06920,361,1.06920
ENSG00000121753,ADGRB2,69,-1.4241,60,-1.6362,20,-3.2501,121,-0.5171,361,1.51370,361,1.51370
ENSG00000184007,PTP4A2,83,-1.9846,166,-0.9179,493,0.98932,268,-0.1243,361,0.39711,361,0.39711
ENSG00000121774,KHDRBS1,50,-2.0173,75,-1.4003,52,-1.9552,164,-0.1309,361,1.36179,361,1.36179
ENSG00000025800,KPNA6,97,-0.9431,31,-2.6727,64,-1.5875,121,-0.5977,361,1.41691,361,1.41691
ENSG00000084623,EIF3I,50,-1.9761,40,-2.3245,19,-3.4112,210,0.33511,361,1.40759,361,1.40759
ENSG00000175130,MARCKSL1,9,-5.6508,141,-1.6252,574,0.71792,872,1.59032,361,-0.1151,361,-0.1151
ENSG00000162521,RBBP4,27,-2.8460,80,-1.2289,52,-1.8793,141,-0.3234,361,1.44453,361,1.44453
